OBJECTID,Animal_Id,Animal_Name,Animal_Type,Activity_Number,Intake_Type,Picked_up_Location,Intake_Date,Outcome_Type,Outcome_Date,Animal_Age,Animal_PrimaryColor,Animal_Sex,Outcome_SubType
94,A459376,BODI,DOG,A22-489169,STRAY,BERG AVE & GOLF VIEW DR,2022/08/19 07:00:00+00,ADOPTION,2022/09/02 07:00:00+00,13Y,BR BRINDLE,N,NORMAL
95,A459376,BODI,DOG,,RETURN,,2022/09/03 07:00:00+00,FOSTER,2022/09/10 07:00:00+00,13Y,BR BRINDLE,N,FOST2ADOPT
96,A459376,BODI,DOG,,FOSTER,,2022/10/26 07:00:00+00,ADOPTION,2022/10/26 07:00:00+00,13Y,BR BRINDLE,N,FOSTER
97,A459615,STELLA,DOG,A21-465497,FOSTER,,2021/04/04 07:00:00+00,ADOPTION,2021/04/04 07:00:00+00,8Y,TAN,S,EMERGENCY
98,A459615,STELLA,DOG,A21-465497,STRAY,GLENROSE AVE & CROSBY WAY,2021/03/15 07:00:00+00,FOSTER,2021/03/28 07:00:00+00,8Y,TAN,S,FOST2ADOPT
99,A460635,BUFFY,DOG,,STRAY,41ST AVE & MARTIN LUTHER KING JR BLVD,2019/11/04 08:00:00+00,RTO,2019/11/08 08:00:00+00,15Y,BLONDE,S,PET UNIFY
100,A461872,BOSCO,DOG,,STRAY,,2021/10/29 07:00:00+00,,2021/10/29 07:00:00+00,11Y,BLACK,N,AT ACC
101,A463535,GRIZZLY,DOG,A20-462230,CONFISCATE,WESTERN AVE & OLMSTEAD DR,2020/12/18 08:00:00+00,RTO,2020/12/19 08:00:00+00,8Y,BROWN,N,IMP 1
102,A464018,HUNTER,DOG,A21-470460,STRAY,NORWICH CT & NORDELL WAY,2021/07/02 07:00:00+00,RTO,2021/07/02 07:00:00+00,10Y,CREAM,N,PHONE
103,A465380,BEASTLY,DOG,A20-456620,CONFISCATE,52ND AVE & 24TH ST,2020/07/08 07:00:00+00,RTO,2020/07/22 07:00:00+00,9Y,GRAY,N,HOMELESS 1
104,A465562,PEACHES,DOG,A21-477744,STRAY,BELMAR ST & WISSEMANN DR,2021/12/17 08:00:00+00,RTO,2021/12/18 08:00:00+00,10Y,FAWN,S,IMP 1
105,A465562,PEACHES,DOG,A22-479733,STRAY,CONBAR CT & MERRIBROOK DR,2022/02/03 08:00:00+00,TRANSFER,2022/03/04 08:00:00+00,10Y,FAWN,S,RESCUE GRP
106,A466287,DAKOTAH,DOG,,STRAY,GERBER RD & POWER INN RD,2020/01/08 08:00:00+00,RTO,2020/01/08 08:00:00+00,9Y,BLACK,F,IMP 1
107,A466441,BEA/BABY,DOG,A20-449621,STRAY,33RD AVE & 79TH ST,2020/01/06 08:00:00+00,RTO,2020/01/06 08:00:00+00,15Y,RED,M,IMP 1
108,A466463,LUCKY,DOG,,STRAY,36TH ST & 16TH AVE,2022/07/03 07:00:00+00,RTO,2022/07/03 07:00:00+00,10Y,WHITE,N,PHONE
109,A467922,LOBO,DOG,A22-484007,STRAY,24TH AVE & 28TH ST,2022/05/04 07:00:00+00,RTO,2022/05/05 07:00:00+00,9Y,BLACK,M,IMP 1
110,A468167,CHOCOLATE,DOG,,STRAY,11TH AVE & 56TH ST,2019/11/04 08:00:00+00,RTO,2019/11/04 08:00:00+00,14Y,BLACK,F,EMAIL
111,A468297,MAUI,DOG,,STRAY,RUSH RIVER DR & DELTA WIND DR,2019/11/06 08:00:00+00,ADOPTION,2019/11/25 08:00:00+00,7Y,BLACK,S,NORMAL
112,A468297,MAUI,DOG,,OWNER SUR,,2020/01/05 08:00:00+00,ADOPTION,2020/01/25 08:00:00+00,7Y,BLACK,S,NORMAL
113,A468752,49ER,DOG,,STRAY,STOCKTON BLVD & BROADWAY,2021/07/14 07:00:00+00,ADOPTION,2021/07/20 07:00:00+00,8Y,TAN,S,NORMAL
114,A470044,ODESSA,DOG,A20-453355,CONFISCATE,ROSEVILLE RD & TRI STATIONS RD,2020/03/31 07:00:00+00,EUTH,2020/04/16 07:00:00+00,,RED,F,DD
115,A470706,SHADY,DOG,,EUTH REQ,,2020/02/12 08:00:00+00,EUTH,2020/02/12 08:00:00+00,8Y,TAN,N,OWNER REQ
116,A470735,RIGBY,DOG,A21-472358,CONFISCATE,REDDING AVE & 4TH AVE,2021/08/11 07:00:00+00,RTO,2021/08/12 07:00:00+00,,BROWN,F,TEXT
117,A471600,ZELDA,CAT,,FOSTER,,2019/12/27 08:00:00+00,ADOPTION,2019/12/27 08:00:00+00,7Y,BLACK,S,FOSTER
118,A471641,NALA,DOG,,STRAY,LEXINGTON STREET & EL CAMINO AVE,2019/12/03 08:00:00+00,RTO,2019/12/03 08:00:00+00,,WHITE,F,PHONE
119,A471641,NALA,DOG,,STRAY,FRIENZA AVE & LEXINGTON ST,2020/02/04 08:00:00+00,,2020/03/04 08:00:00+00,,WHITE,F,
120,A471694,DUECE,DOG,A21-472213,CONFISCATE,RIVER PLAZA DR & GATEWAY OAKS DR,2021/08/09 07:00:00+00,RTO,2021/08/12 07:00:00+00,9Y,GRAY,M,IMP 1
121,A472889,MARSHMALLOW,DOG,A21-471460,CONFISCATE,AMERICAN AVE & PERALTA AVE,2021/07/23 07:00:00+00,FOSTER,2021/07/30 07:00:00+00,8Y,TAN,S,EMERGENCY
